Line #,Cable #,Formal Device,Cable Function,Cable Type,Loc OT,Rack OT,Sid OT,Ele OT,Slot OT,Conn # OT,Pin List OT,Conn. Type OT,Station OT,Ins OT,Loc DT,Rack DT,Sid DT,Ele DT,Slot DT,Conn # DT,Pin List DT,Conn. Type DT,Station DT,Ins DT,Length,Routing,Revision,Job #,Drawing #,Drawing Title,User ID,List Title,Area Cd
1,L2A08469,CEHTR TEMP,POS X SUPPLY RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-2,J1,EI-376-042-02,MTP-U-F,72,0AI,LI01,X,,,,T12,EI-376-042-02,MTP-U-F,72,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
2,L2A08470,CEHTR TEMP,POS X RETURN RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-2,J2,EI-376-042-02,MTP-U-F,72,0AI,LI01,X,,,,T13,EI-376-042-02,MTP-U-F,72,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
3,L2A08471,CEHTR TEMP,NEG X SUPPLY RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-2,J3,EI-376-042-02,MTP-U-F,72,0AI,LI01,X,,,,T14,EI-376-042-02,MTP-U-F,72,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
4,L2A08472,CEHTR TEMP,NEG X RETURN RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-2,J4,EI-376-042-02,MTP-U-F,72,0AI,LI01,X,,,,T15,EI-376-042-02,MTP-U-F,72,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
5,L2A08473,CYC01 TEMP,POS Y SUPPLY RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J2,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T21,EI-376-042-02,MTP-U-F,151,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
6,L2A08474,CYC01 TEMP,POS Y RETURN RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J3,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T22,EI-376-042-02,MTP-U-F,151,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
7,L2A08475,CYC01 TEMP,NEG Y SUPPLY RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J4,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T23,EI-376-042-02,MTP-U-F,151,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
8,L2A08476,CYC01 TEMP,NEG Y RETURN RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J5,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T24,EI-376-042-02,MTP-U-F,151,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
9,L2A08477,CXC01 TEMP,POS X SUPPLY RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J6,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T25,EI-376-042-02,MTP-U-F,160,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
10,L2A08478,CXC01 TEMP,POS X RETURN RTD PIGTAIL,M12CFM,LI01,TRAY,,,M1-3,J7,EI-376-042-02,MTP-U-F,160,0AI,LI01,X,,,,T26,EI-376-042-02,MTP-U-F,160,0AI,33,IC:TM1TFGP01,0,L2TMP5,EI-376-042-02,LCLS2 ALLEN BRADLEY TEMPERATURE MONITOR SECTOR 01,NF,REX CONGDON - LCLS-II TEMP - RTD PIGTAILS,LCLSII
